manhanvien,ho,ten,ngaysinh,gioitinh,diachi,sodienthoai,luong,chucvu
280,Trịnh,Trần Lan,12/14/1997,Khác,Lai Châu,099096963,10000,Công nhân
281,Thạch,Văn Anh,07/31/1994,Khác,Bình Thuận,099756249,10000,Lao động phổ thông
282,Thân,Trần Lan,10/06/1999,Khác,Quảng Nam,093909374,9000,Nhân sự thử việc
283,Liêu,Lê Hồng,01/11/1987,Khác,Bình Thuận,098174501,8000,Thực tập sinh
284,Hồ,Văn Đức,05/24/1986,Khác,Lâm Đồng,090887627,15000,Nhân viên
285,Sơn,Minh Tuấn,08/16/1989,Khác,Bến Tre,094244905,60000,Cán bộ quản lý
286,Nghiêm,Lê Thùy,11/18/1999,Nữ,Khánh Hòa,094942462,15000,Nhân viên
287,Lai,Thùy,08/08/1992,Nam,Nam Định,096928659,15000,Nhân viên
288,Biện,Trần Hùng,02/19/1991,Khác,Phú Yên,094539741,15000,Nhân viên
289,Giang,Quang Huy,07/20/1991,Khác,Hồ Chí Minh (TP. HCM),094854798,8000,Thực tập sinh
290,Quách,Hùng,09/03/2002,Nữ,Yên Bái,097362418,60000,Cán bộ quản lý
291,Cù,Thanh,07/21/1998,Nam,Khánh Hòa,095145968,15000,Nhân viên
292,Trần,Hoàng,12/04/2004,Nam,Gia Lai,090215509,9000,Người làm bán thời gian
293,Dương,Nguyễn Trang,04/20/1988,Nam,Tiền Giang,094320353,15000,Nhân viên
294,Dư,Văn Anh,07/29/1986,Nữ,Cà Mau.,090277561,8000,Thực tập sinh
295,Đậu,Dương Quốc,11/19/1990,Nam,Nam Định,099459988,9000,Nhân sự thử việc
296,Âu,Nguyễn Hùng,06/28/1998,Khác,Đồng Nai,091430476,10000,Công nhân
297,Mạc,Trần Lan,07/01/1992,Khác,Hà Tĩnh,098602748,10000,Lao động phổ thông
298,Doãn,Nguyễn Hồng,11/02/1989,Nam,Cà Mau.,094447639,60000,Cán bộ quản lý
299,Thân,Quang Minh,04/15/1991,Khác,Phú Yên,096503574,50000,Chuyên gia nước ngoài
300,Quách,Lê Phương,03/18/2001,Nữ,Trà Vinh,094396050,10000,Lao động phổ thông
301,Lương,Nguyễn Lan,12/20/2004,Khác,Khánh Hòa,091534951,9000,Nhân sự thử việc
302,Mạc,Đức,07/10/1992,Nam,Tuyên Quang,098702213,60000,Cán bộ quản lý
303,Dương,Đức,11/12/1994,Nữ,Nam Định,095635090,60000,Cán bộ quản lý
304,Tiêu,Tuấn,11/19/1998,Khác,An Giang,091337595,10000,Lao động phổ thông
305,Thân,Nguyễn Hùng,04/02/2002,Nam,Bình Phước,095781720,9000,Người làm bán thời gian
306,Thất,Trần Lan,09/10/1988,Nam,Hải Phòng,098335368,9000,Người làm bán thời gian
307,Phương,Trần Trang,12/01/1991,Khác,Đà Nẵng,099992606,9000,Nhân sự thử việc
308,Hoàng,Nguyễn Kim,09/24/2001,Nam,Phú Thọ,096369307,15000,Nhân viên
309,Nhan,Văn Đức,12/12/1989,Nữ,Nghệ An,093498765,40000,Kỹ sư
310,Lý,Mai,11/11/2002,Nữ,Hà Nam,094006051,8000,Thực tập sinh
311,Bành,Hùng,03/26/2004,Nữ,Ninh Bình,091172507,10000,Lao động phổ thông
312,Khưu,Văn,04/09/1989,Nam,Hải Phòng,097903322,50000,Chuyên gia nước ngoài
313,Châu,Nguyễn Ánh,01/07/1997,Nam,Lâm Đồng,094576344,9000,Người làm bán thời gian
314,Tôn,Nguyễn Kim,05/20/1994,Nữ,Đà Nẵng,097402886,9000,Nhân sự thử việc
315,Tăng,Quang,10/31/1986,Khác,Bạc Liêu,090261172,15000,Nhân viên
316,Tiêu,Nguyễn Thị,03/01/1993,Khác,Ninh Bình,092784261,10000,Lao động phổ thông
317,Đỗ,,02/10/1987,Nam,Phú Thọ,094415074,15000,Nhân viên
318,Tống,Hoàng An,11/21/1999,Khác,Long An,091351856,15000,Nhân viên
319,Khưu,Phương,06/14/1987,Khác,Phú Yên,096505401,10000,Lao động phổ thông
320,Tiêu,Trần Thị,05/16/1987,Nam,Đồng Tháp,096148841,9000,Người làm bán thời gian
321,Kim,Hồng,12/18/2003,Nam,Bến Tre,091402380,9000,Nhân sự thử việc
322,Hồ,Minh,10/13/2001,Nam,Hà Nam,091526998,50000,Chuyên gia nước ngoài
323,Hứa,Thanh Hương,07/05/1999,Nữ,Thái Bình,090370636,10000,Công nhân
324,Trương,Nguyễn Lan,12/26/1990,Khác,Hà Nam,099142564,9000,Người làm bán thời gian
325,Cao,Văn,09/26/1987,Nam,Bắc Ninh,099532759,60000,Cán bộ quản lý
326,Hoàng,Thanh Hương,05/21/1994,Nữ,Hà Nội,098322310,60000,Cán bộ quản lý
327,Đoàn,Quang Minh,08/01/2003,Nam,Sóc Trăng,095179173,9000,Nhân sự thử việc
328,Hoàng,Nguyễn Trang,06/11/1996,Nữ,Quảng Nam,098314819,50000,Chuyên gia nước ngoài
329,Chung,Anh,12/15/1987,Nam,Hải Dương,095181639,50000,Chuyên gia nước ngoài
330,Kiều,Hồng,12/31/2001,Nữ,Bắc Giang,096907794,15000,Nhân viên
331,Hà,Trần Lan,04/15/2004,Nữ,Lào Cai,098320554,60000,Cán bộ quản lý
332,Mạc,Lê Kim,05/15/1997,Nam,Sóc Trăng,094267483,15000,Nhân viên
333,Trà,Anh,02/03/2003,Khác,Trà Vinh,092600816,15000,Nhân viên
334,Lại,Phương,06/08/1987,Nam,Bình Thuận,091847627,60000,Cán bộ quản lý
335,Huỳnh,Trần Anh,03/12/1999,Khác,Cao Bằng,096037496,40000,Kỹ sư
336,Hoàng,Quang Huy,06/10/1999,Nam,Long An,090358297,15000,Nhân viên
337,Đặng,Nguyễn Ánh,12/02/2003,Nam,Lai Châu,091831847,8000,Thực tập sinh
338,Ninh,Hồng,11/10/1991,Nam,Kiên Giang,096239877,15000,Nhân viên
339,Phương,Mai,02/11/1991,Khác,Cao Bằng,090667489,9000,Người làm bán thời gian
340,Kiều,Minh,05/02/1987,Nữ,Lâm Đồng,098663305,9000,Người làm bán thời gian
341,Sơn,Trần Thị,01/15/1998,Nữ,Sóc Trăng,097663964,10000,Công nhân
342,Trình,Lê Kim,06/02/2001,Khác,Hưng Yên,093355797,10000,Lao động phổ thông
343,Triệu,Lê Phương,01/22/1999,Khác,Quảng Trị,099378595,10000,Công nhân
344,Tống,Anh,06/21/2002,Nam,Thái Nguyên,097919960,8000,Thực tập sinh
345,Hàng,Trần Thị,05/07/1985,Nam,Lạng Sơn,091327912,10000,Công nhân
346,Kiều,Quang Minh,03/29/1999,Nam,Vĩnh Phúc,094845758,10000,Công nhân
347,Trình,Lan,04/27/1998,Nữ,Hải Phòng,090079136,60000,Cán bộ quản lý
348,Tôn,Đức,09/01/1987,Nam,Vĩnh Phúc,090893632,40000,Kỹ sư
349,Vòng,Minh Tuấn,09/26/2003,Nam,Kon Tum,096880860,9000,Người làm bán thời gian
350,Tôn,Dương Hùng,10/14/1996,Khác,Bình Phước,095126704,10000,Lao động phổ thông
351,Tống,Thị,06/26/1990,Nữ,Trà Vinh,095886654,15000,Nhân viên
352,Tôn,Trần Đức,01/08/2004,Nữ,Bạc Liêu,094881829,8000,Thực tập sinh
353,Từ,Lê Mai,12/09/2004,Khác,Bình Thuận,090377760,40000,Kỹ sư
354,Sơn,Thị,02/26/1991,Nữ,Cao Bằng,099623591,10000,Lao động phổ thông
355,Ôn,Quang Huy,01/23/1991,Khác,Thanh Hóa,098362440,10000,Lao động phổ thông
356,Triệu,Trần Hùng,12/07/2003,Nam,Kon Tum,092105911,9000,Nhân sự thử việc
357,Bạch,Hồng,12/15/1992,Nữ,Hà Nam,091660494,10000,Công nhân
358,Chu,Nguyễn Kim,11/02/1993,Nữ,Yên Bái,096048556,10000,Công nhân
359,Lại,Dương Quốc,08/07/1993,Nam,Hòa Bình,095648809,15000,Nhân viên
360,Viên,Nguyễn Trang,08/26/1992,Khác,Phú Thọ,094610287,10000,Công nhân
361,Vũ,Ánh,02/12/1998,Nam,Cần Thơ,091175187,60000,Cán bộ quản lý
362,Trình,Trần Đức,11/09/1994,Nữ,Hưng Yên,096886420,40000,Kỹ sư
363,Mạc,Nguyễn Đức,12/23/2002,Nam,Hưng Yên,092286616,10000,Lao động phổ thông
364,Mai,Dương,08/18/1990,Nữ,Cà Mau.,097867918,10000,Công nhân
365,Khưu,Trần Trang,10/21/1987,Khác,An Giang,093815739,60000,Cán bộ quản lý
366,Vũ,Kim,08/08/1991,Khác,Thừa Thiên Huế,092531140,60000,Cán bộ quản lý
367,Chu,Minh Khánh,05/14/1999,Nữ,Tiền Giang,098334555,8000,Thực tập sinh
368,Thiều,Thanh Thảo,09/10/2003,Nam,Ninh Bình,096061792,9000,Nhân sự thử việc
369,Lê,Hồng,03/22/1993,Khác,Đà Nẵng,096304514,10000,Công nhân
370,Vi,Thanh,11/30/1992,Khác,Khánh Hòa,090238343,40000,Kỹ sư
371,Lưu,Nguyễn Hùng,01/30/2004,Khác,Sơn La,090512645,40000,Kỹ sư
372,Lại,Nguyễn Thùy,01/31/1989,Nam,Đắk Lắk,099932269,10000,Lao động phổ thông
373,Văn,Thị,04/09/1995,Nam,Quảng Ninh,094292024,8000,Thực tập sinh
374,Hồn,Trần Anh,04/17/1994,Khác,Tuyên Quang,091919235,50000,Chuyên gia nước ngoài
375,Lương,Nguyễn Thị,12/02/1987,Nam,Quảng Trị,095050716,10000,Lao động phổ thông
376,Huỳnh,Nguyễn Hồng,02/23/1986,Nam,Lào Cai,094820550,8000,Thực tập sinh
377,Đi,Nguyễn Anh,07/17/2003,Nữ,Bình Phước,097094743,10000,Công nhân
378,Tạ,Trang,09/03/2001,Khác,Bắc Kạn,098335368,40000,Kỹ sư
379,Đỗ,Quang Minh,02/04/1985,Nữ,Khánh Hòa,091172507,9000,Nhân sự thử việc
380,Ngụy,Thị,11/04/1999,Nữ,Lai Châu,094179559,60000,Cán bộ quản lý
381,Hà,Nguyễn Thùy,04/07/1995,Nữ,Hà Giang,091719230,9000,Nhân sự thử việc
382,Trà,Nam,12/14/1991,Nam,Bến Tre,096415018,8000,Thực tập sinh
383,Viên,Lê Kim,12/14/1997,Nữ,Cà Mau.,092370707,10000,Công nhân
384,Cao,Thanh Thảo,11/16/2001,Nam,Đà Nẵng,096063381,40000,Kỹ sư
385,Ông,Nguyễn Ánh,08/23/1999,Nữ,Trà Vinh,095391931,10000,Công nhân
386,Lại,Trần Thị,11/17/1994,Khác,Ninh Bình,097608582,60000,Cán bộ quản lý
387,Tạ,Thanh Thảo,04/20/1991,Nam,An Giang,099123374,10000,Lao động phổ thông
388,Từ,Nguyễn Ánh,12/30/1999,Nam,Bắc Kạn,099998878,50000,Chuyên gia nước ngoài
389,Tôn,Hoàng Nam,09/28/1985,Nữ,Quảng Bình,095495005,40000,Kỹ sư
390,La,Kim,08/26/2004,Khác,Bến Tre,090264157,60000,Cán bộ quản lý
391,Phùng,Trần Lan,04/12/1986,Nam,Hải Phòng,096981097,9000,Người làm bán thời gian
392,Tạ,Trần Đức,12/27/2001,Nam,Trà Vinh,097601270,10000,Lao động phổ thông
393,Lâm,Mai,09/17/2001,Nam,Yên Bái,093680042,8000,Thực tập sinh
394,Kim,Nguyễn Hồng,08/06/1996,Nữ,Tiền Giang,092278884,50000,Chuyên gia nước ngoài
395,Bùi,Trần Trang,05/18/1991,Nữ,Quảng Nam,099713101,9000,Người làm bán thời gian
396,Đoàn,Nguyễn Nam,10/18/1997,Khác,An Giang,094897441,60000,Cán bộ quản lý
397,Đồn,Nguyễn Hồng,12/20/1997,Nữ,Ninh Thuận,097004236,60000,Cán bộ quản lý
398,Bùi,Kim,05/01/1985,Khác,An Giang,091794455,60000,Cán bộ quản lý
399,Ôn,Văn Anh,10/22/1992,Khác,Yên Bái,098225256,10000,Lao động phổ thông
400,Từ,Mai,04/19/2000,Nam,Nam Định,090214253,50000,Chuyên gia nước ngoài
401,Phù,Trần Đức,11/06/1989,Nữ,Đà Nẵng,097836899,9000,Nhân sự thử việc
402,Biện,Nguyễn Trang,10/13/1996,Nam,Trà Vinh,096896189,10000,Lao động phổ thông
403,Cù,Nguyễn Kim,03/20/1998,Nam,Hồ Chí Minh (TP. HCM),095122285,60000,Cán bộ quản lý
404,Đặng,Nam,04/26/1992,Nam,Yên Bái,095855444,9000,Người làm bán thời gian
405,Mã,Thanh,03/19/1996,Nữ,Lạng Sơn,097365852,8000,Thực tập sinh
406,Lâm,Kim,01/20/1992,Nam,Cao Bằng,095973344,9000,Nhân sự thử việc
407,Đường,Kim,03/11/1987,Nữ,Lào Cai,091253344,9000,Nhân sự thử việc
408,Trương,Tuấn Anh,12/11/1988,Nam,Hòa Bình,094229963,9000,Nhân sự thử việc
409,Khổng,Trần Anh,01/15/2001,Nam,Bến Tre,099247155,10000,Công nhân
410,Phan,Lê Nam,09/10/1998,Nam,Hòa Bình,099121679,15000,Nhân viên
411,Huỳnh,Nguyễn Nam,11/08/1987,Khác,Long An,098796395,10000,Công nhân
412,Phùng,Nguyễn Trang,05/04/2004,Khác,Hà Giang,097197493,60000,Cán bộ quản lý
413,Phù,Hoàng Nam,03/29/1987,Khác,Đắk Nông,097676701,60000,Cán bộ quản lý
414,Chế,Lê Kim,03/23/1988,Nam,Phú Thọ,090930454,8000,Thực tập sinh
415,Hồ,Lê Thùy,02/20/1991,Nam,Lâm Đồng,092551907,40000,Kỹ sư
416,Mạc,Thanh Thảo,01/11/1995,Nữ,An Giang,097530186,60000,Cán bộ quản lý
417,Quách,Lê Hồng,10/10/2001,Nữ,Hà Nam,091850330,60000,Cán bộ quản lý
418,Giang,Tuấn,12/30/1989,Khác,Ninh Thuận,099713101,60000,Cán bộ quản lý
419,Kiều,Anh,04/08/1985,Khác,Đồng Tháp,096536984,10000,Công nhân
420,La,Dương,01/06/1996,Khác,Bắc Giang,092398665,8000,Thực tập sinh
421,Đàm,Tuấn,07/01/1993,Nữ,Bắc Ninh,091674811,9000,Nhân sự thử việc
422,Lai,Nguyễn Nam,01/30/2004,Khác,Cần Thơ,099555066,50000,Chuyên gia nước ngoài
423,Lai,Nam,05/30/1996,Khác,Ninh Thuận,099181139,60000,Cán bộ quản lý
424,Chung,Văn Anh,04/25/1988,Nữ,Bà Rịa - Vũng Tàu,098314819,9000,Nhân sự thử việc
425,Thái,Dương Hùng,07/21/1999,Nữ,Bình Thuận,097340248,9000,Người làm bán thời gian
426,Mạch,Anh,06/25/1987,Khác,Hưng Yên,096886656,15000,Nhân viên
427,Quách,Trần Ánh,09/19/1996,Nam,Sóc Trăng,093121742,8000,Thực tập sinh
428,Tăng,Lê Kim,08/18/2001,Nữ,Ninh Bình,097661547,10000,Công nhân
429,Viên,Kim,09/18/1989,Nam,Đắk Lắk,099007880,60000,Cán bộ quản lý
430,Sơn,Văn Anh,07/04/1988,Nữ,Đắk Nông,099181139,8000,Thực tập sinh
431,Trương,Thanh,09/14/1994,Nữ,Đà Nẵng,096787483,10000,Lao động phổ thông
432,Dư,Nguyễn Thùy,07/30/1991,Nam,Nghệ An,098970368,40000,Kỹ sư
433,Trầm,Nam,10/01/2001,Nữ,Đà Nẵng,096301123,8000,Thực tập sinh
434,Bùi,Lê Hồng,04/27/1997,Nữ,Gia Lai,095485543,9000,Người làm bán thời gian
435,Kiều,Thanh Thảo,05/25/1986,Nam,Tây Ninh,093597940,10000,Công nhân
436,Nhan,Hùng,02/19/1998,Nữ,Trà Vinh,096108256,60000,Cán bộ quản lý
437,Trịnh,Hoàng,04/29/1998,Nam,Đồng Nai,096941991,8000,Thực tập sinh
438,Cao,Trần Thị,10/03/1997,Nữ,Quảng Ngãi,091999186,9000,Người làm bán thời gian
439,Giang,Trần Anh,11/16/1993,Nam,Thừa Thiên Huế,099857862,40000,Kỹ sư
440,Tiêu,Lê Kim,01/10/1993,Nam,Bình Thuận,096840105,9000,Người làm bán thời gian
441,Lục,Thị,05/04/1988,Khác,Đồng Tháp,097797663,10000,Lao động phổ thông
442,Đoàn,Trang,03/14/1992,Nam,Cần Thơ,097836899,9000,Nhân sự thử việc
443,Bùi,Anh,06/17/1994,Nam,Cần Thơ,099395358,40000,Kỹ sư
444,Lâm,Trần Thị,02/04/2000,Khác,Yên Bái,096046893,60000,Cán bộ quản lý
445,Nguyễn,Trần Anh,03/26/1986,Khác,Quảng Ngãi,097702477,15000,Nhân viên
446,Âu,Lan,08/05/1992,Nữ,Đồng Tháp,094911208,15000,Nhân viên
447,Lý,Dương,05/21/1989,Khác,Khánh Hòa,094409942,9000,Nhân sự thử việc
448,Tôn,Nguyễn Kim,01/02/1991,Nữ,Kon Tum,096359179,60000,Cán bộ quản lý
449,Tôn,Quang Huy,04/25/2001,Nam,Bắc Giang,090859914,8000,Thực tập sinh
450,Nhâm,Nguyễn Đức,02/25/1995,Nam,Hà Giang,093286859,9000,Nhân sự thử việc
451,Ôn,Minh Khánh,08/24/2002,Khác,Bắc Giang,098355267,9000,Nhân sự thử việc
452,Vương,Thanh,05/25/1986,Khác,Hậu Giang,090056862,15000,Nhân viên
453,Hồn,Nam,03/15/2004,Nữ,Nghệ An,098474033,50000,Chuyên gia nước ngoài
454,Kim,Nguyễn Nam,04/18/1991,Nam,Tiền Giang,094477882,9000,Người làm bán thời gian
455,Trình,Minh Tuấn,07/05/1990,Nam,Lào Cai,096886656,15000,Nhân viên
456,Chu,Dương Quốc,03/29/1989,Nữ,Hưng Yên,096949254,9000,Nhân sự thử việc
457,Từ,Hùng,01/26/1998,Nam,Hải Phòng,090326825,8000,Thực tập sinh
458,Tăng,Nguyễn Phương,11/06/1991,Khác,Bắc Kạn,091717339,40000,Kỹ sư
459,Quan,,11/03/1999,Khác,Hà Giang,094227354,40000,Kỹ sư
460,Thái,Nguyễn Hùng,08/30/1996,Khác,Bạc Liêu,098595182,8000,Thực tập sinh
461,Chung,Dương,09/08/1993,Nữ,Hà Nam,091418141,10000,Công nhân
462,Giang,Lan,03/05/1999,Nam,Đắk Lắk,090954768,15000,Nhân viên
463,Quan,Đức,08/19/1994,Khác,Đồng Tháp,090902023,40000,Kỹ sư
464,Huỳnh,Trần Lan,08/09/2004,Nam,Quảng Trị,090215509,9000,Nhân sự thử việc
465,Mạc,Nguyễn Đức,03/31/1999,Khác,Nam Định,091847627,9000,Người làm bán thời gian
466,Lại,Nguyễn Trang,03/05/2003,Khác,Ninh Thuận,095254995,10000,Lao động phổ thông
467,Chung,Nguyễn Trang,01/30/1993,Nữ,Đà Nẵng,097716941,60000,Cán bộ quản lý
468,Chu,Thanh,12/03/1994,Nữ,Hậu Giang,090507359,10000,Công nhân
469,Phương,Tuấn,06/27/2004,Nữ,Lạng Sơn,094229963,60000,Cán bộ quản lý
470,Thân,Hoàng,07/13/1991,Nam,Khánh Hòa,090819947,8000,Thực tập sinh
471,Tống,Hồng,04/08/2002,Nữ,Hưng Yên,095451741,10000,Lao động phổ thông
472,Hà,Nguyễn Hồng,01/31/1987,Nam,Thừa Thiên Huế,095352822,50000,Chuyên gia nước ngoài
473,Dư,Nguyễn Hồng,05/19/2000,Khác,Kon Tum,090047484,9000,Nhân sự thử việc
474,Ngụy,Trang,04/15/1990,Nam,Lâm Đồng,093561123,8000,Thực tập sinh
475,Lai,Thanh Thảo,08/29/1987,Nữ,Hà Nội,099932269,40000,Kỹ sư
476,Thất,Lê Mai,12/16/1988,Nam,Tuyên Quang,096596527,10000,Công nhân
477,Hà,Lê Hồng,05/08/1988,Nam,Quảng Trị,091169909,9000,Người làm bán thời gian
478,Chung,Hoàng Nam,11/02/1999,Khác,Nam Định,098594362,60000,Cán bộ quản lý
479,Lai,Quang,01/17/1991,Nữ,Bến Tre,090086097,50000,Chuyên gia nước ngoài
480,Lã,Lê Hồng,04/11/2001,Nam,Quảng Ngãi,095635090,40000,Kỹ sư
481,Sơn,Lê Thùy,02/16/2003,Nam,Vĩnh Phúc,097368036,8000,Thực tập sinh
482,Mạch,Quang Minh,07/23/2000,Nam,Trà Vinh,094854798,10000,Công nhân
483,Triệu,Mai,10/04/1988,Khác,Tuyên Quang,099322485,10000,Công nhân
484,Ngô,Minh Khánh,06/17/2002,Nam,Yên Bái,098707541,40000,Kỹ sư
485,Trình,Lê Hồng,02/14/2002,Nữ,Đà Nẵng,093271788,10000,Lao động phổ thông
486,Đồn,Nguyễn Hùng,01/01/1992,Nữ,Cần Thơ,098712699,9000,Nhân sự thử việc
487,Nhâm,Ánh,03/04/1998,Nữ,Bình Thuận,098491994,15000,Nhân viên
488,Doãn,Anh,01/13/1987,Nam,Phú Yên,094742232,10000,Lao động phổ thông
489,Vũ,Nguyễn Lan,02/27/1987,Nam,Đồng Tháp,099350731,10000,Công nhân
490,Ngụy,Nguyễn Thị,09/17/1986,Nữ,Hà Giang,095964039,10000,Công nhân
491,Mạc,Lê Phương,06/28/1995,Khác,Hà Tĩnh,090128621,50000,Chuyên gia nước ngoài
492,Hà,Quang,11/02/1996,Nữ,Thái Bình,099519380,50000,Chuyên gia nước ngoài
493,Trà,Trần Lan,11/13/1988,Nam,Bình Dương,099238040,9000,Nhân sự thử việc
494,Trương,Minh Tuấn,03/26/1985,Nữ,Hồ Chí Minh (TP. HCM),097128074,50000,Chuyên gia nước ngoài
495,Tiêu,Nguyễn Kim,02/18/1994,Nữ,Lào Cai,092636946,50000,Chuyên gia nước ngoài
496,Tăng,Mai,04/16/2001,Nam,Bạc Liêu,093466157,9000,Nhân sự thử việc
497,Văn,Nguyễn Lan,11/25/1993,Nữ,An Giang,095156315,60000,Cán bộ quản lý
498,Liêu,Trần Trang,12/23/1998,Nam,Hà Nam,097530186,10000,Lao động phổ thông
499,Tô,Trần Trang,03/26/1993,Nữ,Vĩnh Long,097306461,9000,Người làm bán thời gian
500,Nhan,Thị,07/07/2003,Nam,Ninh Bình,091892993,9000,Nhân sự thử việc
501,Lục,Mai,09/22/1987,Khác,Bình Dương,097808349,9000,Nhân sự thử việc
502,Huỳnh,Hoàng Nam,01/25/1996,Khác,Quảng Ninh,092536338,8000,Thực tập sinh
503,Mạch,Nguyễn Trang,08/17/2001,Nữ,Khánh Hòa,093856868,60000,Cán bộ quản lý
504,Tạ,Thanh,08/17/1995,Nữ,Quảng Bình,091402380,40000,Kỹ sư
505,Tăng,Lê Mai,03/06/2001,Khác,Đồng Tháp,095625378,9000,Nhân sự thử việc
506,Thất,Quang Minh,02/26/2001,Nam,Tây Ninh,091791423,15000,Nhân viên
507,Trịnh,Nguyễn Hùng,06/07/1987,Khác,Bắc Kạn,094490637,50000,Chuyên gia nước ngoài
508,Trương,Lan,05/30/2004,Nữ,An Giang,091264160,8000,Thực tập sinh
509,Lại,Thị,07/15/1990,Khác,Hậu Giang,092138251,8000,Thực tập sinh
510,Khưu,Lê Nam,10/17/1989,Khác,Kiên Giang,096896189,9000,Nhân sự thử việc
511,Nhâm,Nguyễn Nam,02/07/1986,Khác,Hậu Giang,091284564,10000,Lao động phổ thông
512,Tiêu,Quang,09/15/1992,Nữ,Trà Vinh,097365852,40000,Kỹ sư
513,Trầm,Minh Tuấn,07/19/1998,Khác,Thanh Hóa,098927560,50000,Chuyên gia nước ngoài
514,Biện,Trần Ánh,02/27/1987,Khác,Bình Dương,099044220,8000,Thực tập sinh
515,Võ,Lan,06/06/1997,Nam,Hải Phòng,096048556,10000,Công nhân
516,Thất,Minh Tuấn,08/15/1986,Khác,Cà Mau.,092718136,50000,Chuyên gia nước ngoài
517,Phạm,Quang Minh,06/25/1991,Nữ,An Giang,095120122,8000,Thực tập sinh
518,Lâm,Văn Anh,12/06/2001,Nữ,Hà Tĩnh,099096963,9000,Nhân sự thử việc
519,Đặng,Trần Anh,10/20/2000,Khác,Sóc Trăng,095713924,60000,Cán bộ quản lý
520,Trầm,Hoàng Nam,01/28/1985,Nữ,Trà Vinh,097216871,40000,Kỹ sư
521,Đồn,Kim,06/02/1989,Nam,Phú Yên,095482602,9000,Người làm bán thời gian
522,Viên,Thùy,10/26/2000,Nam,Bến Tre,099247155,15000,Nhân viên
523,Trịnh,Thùy,02/25/2003,Nữ,Đà Nẵng,094457000,15000,Nhân viên
524,Nhan,Nguyễn Anh,10/09/1987,Nữ,Đắk Lắk,090316918,50000,Chuyên gia nước ngoài
525,Bạch,Hoàng Nam,03/02/1985,Nữ,Lạng Sơn,090433329,60000,Cán bộ quản lý
526,Liêu,Nguyễn Thị,10/02/1988,Khác,Hải Phòng,091660494,10000,Lao động phổ thông
527,Tôn,Lê Kim,11/14/1991,Khác,Hà Giang,091292851,9000,Nhân sự thử việc
528,Bành,Thanh,05/12/1992,Khác,Gia Lai,098854119,10000,Lao động phổ thông
529,Đặng,Nguyễn Hồng,01/05/1996,Khác,An Giang,094404202,10000,Công nhân
530,Thi,Anh,12/25/1989,Nam,Đắk Nông,099000374,15000,Nhân viên
531,Thái,Văn Đức,07/13/1994,Khác,Quảng Nam,094409942,10000,Công nhân
532,Đàm,Trần Ánh,05/24/1994,Nữ,Kiên Giang,092834755,50000,Chuyên gia nước ngoài
533,Bạch,Trần Trang,12/31/1994,Khác,Kiên Giang,096374099,8000,Thực tập sinh
534,Lai,Minh Khánh,05/05/1998,Nữ,Quảng Trị,095247458,50000,Chuyên gia nước ngoài
535,Trà,Trần Thị,11/24/1994,Khác,Vĩnh Long,092286616,9000,Người làm bán thời gian
536,Thạch,Anh,07/28/1995,Khác,Khánh Hòa,096787483,15000,Nhân viên
537,Sơn,Trang,05/04/1993,Nữ,Cao Bằng,094897441,60000,Cán bộ quản lý
538,Trần,Trần Đức,03/10/1988,Khác,Bình Thuận,098896006,60000,Cán bộ quản lý
539,Giang,Lê Mai,01/28/2004,Nam,Hòa Bình,095806665,8000,Thực tập sinh
540,Dư,Dương Hùng,12/12/2002,Nam,Lâm Đồng,093566157,15000,Nhân viên
541,Vương,Mai,08/12/1994,Nam,Bến Tre,090471442,10000,Công nhân
542,Quách,Nguyễn Phương,11/27/1988,Khác,Ninh Thuận,099957852,60000,Cán bộ quản lý
543,Mai,Nguyễn Thị,10/07/2000,Nữ,Bắc Ninh,098968627,9000,Nhân sự thử việc
544,Tào,Dương Quốc,01/10/1998,Nam,Thái Nguyên,090326825,9000,Nhân sự thử việc
545,Thạch,Minh,08/04/1994,Nữ,Vĩnh Long,095519947,8000,Thực tập sinh
546,Mã,Hùng,10/28/1996,Nam,Nam Định,090341970,60000,Cán bộ quản lý
547,Huỳnh,Mai,06/11/1989,Nữ,Hậu Giang,099197781,15000,Nhân viên
548,Trương,Thanh Hương,11/02/1999,Nam,Bình Dương,097362418,9000,Người làm bán thời gian
549,Lữ,Nguyễn Hồng,01/26/1985,Nữ,Quảng Bình,096063862,10000,Lao động phổ thông
550,Lưu,Lan,01/05/1990,Nữ,An Giang,091859948,9000,Nhân sự thử việc
551,Thiều,Nguyễn Thùy,04/03/1988,Khác,Hà Nam,090826759,9000,Nhân sự thử việc
552,Lã,Kim,08/17/1998,Nam,Đà Nẵng,090461639,8000,Thực tập sinh
553,Thất,Dương,11/24/1986,Nam,Sơn La,093520419,10000,Lao động phổ thông
554,Kim,Phương,05/30/2001,Nữ,Hà Nội,092390804,10000,Lao động phổ thông
555,Lục,Thanh Hương,01/18/1990,Khác,Cần Thơ,094191189,40000,Kỹ sư
556,Sơn,Trang,12/25/1988,Khác,Gia Lai,097162930,10000,Công nhân
557,Trầm,Tuấn,05/25/2003,Khác,Bắc Ninh,092899720,60000,Cán bộ quản lý
558,Lã,Lê Nam,11/17/2001,Khác,Tây Ninh,098441415,60000,Cán bộ quản lý
559,Hồn,Hoàng An,08/17/1994,Nam,Cao Bằng,096979308,8000,Thực tập sinh
560,Chế,Hồng,06/10/1989,Khác,Lạng Sơn,098392875,40000,Kỹ sư
